Nome Format,Tipologia,Logistica,Target Ideale,Vibe / Emozione,Sales Hook,Social,Novità ,Ranking,Max Pax,Durata Min,Durata Max,Durata Ideale,Descrizione Breve,Formazione,Note,Link website page
Instabuilding Ai,Social / Foto,Indoor / Outdoor,"Gen-Z, Marketing, Social","Social, Visual, Storytelling",Raccontate la vostra storia aziendale con lo stile immediato degli influencer.,no,no,4,Illimitato,2,3,"2,5",Contest creativo basato sulla produzione di foto e video per Instagram.,medium,,https://www.teambuilding.it/project/insta-building-ai/
Intelligenza Artificiale,Tech / AI,Indoor,"Innovatori, Visionari","Tech, Futuro, Digital",Umano + AI: la collaborazione definitiva per creare contenuti incredibili in pochi minuti.,no,si,5,Illimitato,1,"2,5",2,"Utilizzo di strumenti AI per creare prodotti, immagini e campagne marketing.",medium,,https://www.teambuilding.it/project/intelligenza-artificiale/
Kayak,Sport / Acqua,Outdoor (Lago),"Sportivi, Amanti natura","Acqua, Sincronia, Natura",Pagaiare all'unisono immersi nella natura: sport e coordinazione sull'acqua.,no,no,3,100,2,3,"2,5",Escursione o gara a staffetta su kayak (canoe) nel lago o fiume.,medium,,https://www.teambuilding.it/project/kayak/
Law & Order,Roleplay / Investigativo,Indoor,"Amanti serie TV, Dibattito","Logica, Retorica, Giustizia","In aula di tribunale: arringa, difendi e convinci la giuria con la tua oratoria.",no,si,3,Illimitato,"1,5","2,5",2,Simulazione di un processo legale con analisi delle prove e dibattimento in aula.,medium,,https://www.teambuilding.it/project/laworder/
Lego Building,Costruzione,Indoor,"Ingegneri, Creativi, Tutti","Mattoncini, Nostalgia, Progettazione","Tornare bambini per costruire il futuro dell'azienda, mattoncino su mattoncino.",no,no,4,Illimitato,"1,5","2,5",2,"Costruzione di sculture, loghi o progetti complessi con migliaia di mattoncini Lego.",high,,https://www.teambuilding.it/project/lego-building/
Legolize,Creativo / AI,Indoor,"Gen-Z, Marketing, Creativi","Ironia, Social, Creatività ",Create vignette virali unendo l'ironia dei LEGO alla potenza dell'AI.,no,si,4,Illimitato,1,2,"1,5",Creazione di vignette ironiche stile LEGO utilizzando l'intelligenza artificiale.,medium,,https://www.teambuilding.it/project/legolize/
Leonardo da Vinci,Costruzione,Indoor,"Ingegneri, Storici","Genio, Storia, Meccanica",Mettetevi alla prova con le invenzioni del più grande genio della storia.,no,no,4,Illimitato,2,3,"2,5","Costruzione di macchine basate sui progetti di Leonardo (es. ponti, catapulte).",medium,,https://www.teambuilding.it/project/leonardo-da-vinci/
LipDub,Video / Musica,Indoor / Outdoor,"Estroversi, Feste aziendali","Musica, Video, Allegria","Un unico piano sequenza, tutto il team, una canzone: azione!",no,no,3,Illimitato,"1,5","2,5",2,Realizzazione di un videoclip musicale in piano sequenza (senza stacchi di camera).,low,,https://www.teambuilding.it/project/lipdub/
Lipsync Battle,Show,Indoor,"Estroversi, Party Aziendali","Musica, Show, Performance","Non serve saper cantare, basta saper fare show: la battaglia di playback definitiva.",no,si,4,Illimitato,1,"1,5","1,5",Sfida di playback a squadre con costumi e coreografie divertenti.,low,,https://www.teambuilding.it/project/lipsync-battle/
Make Your Sound,Musica / Costruzione,Indoor,"Gruppi creativi, Manualità ","Ritmo, Costruzione, Musica",Costruite i vostri strumenti con materiali di riciclo e create il ritmo del vostro successo.,no,si,4,Illimitato,"1,5","2,5",2,Costruzione di strumenti musicali con materiali di riciclo e concerto finale.,low,,https://www.teambuilding.it/project/make-your-sound/
Mannequin Challenge,Video / Social,Indoor,"Social, Giovani","Immobilità , Viralità , Divertimento",Il tempo si ferma: create il video virale perfetto congelando l'attimo fuggente.,no,no,3,Illimitato,"0,5","1,5",1,"Creazione di video virali con i partecipanti ""congelati"" in pose statiche.",low,,https://www.teambuilding.it/project/mannequin-challenge/
Medieval Cart,Costruzione / Gara,Outdoor,"Competitivi, Creativi","Storia, Gara, Costruzione",Indietro nel tempo: costruite la vostra biga romana e lanciatevi nella corsa!,no,no,2,Illimitato,2,"3,5","2,5","Progettazione, costruzione e gara con carretti in stile medievale.",medium,,https://www.teambuilding.it/project/medieval-cart/
Mind Hackers,Logica / Mentale,Indoor,"Analitici, Problem Solvers","Cervello, Sfida, Psicologia",Hackerate la vostra mente: sfide cognitive per superare i propri limiti e bias.,no,si,3,Illimitato,1,"1,5","1,5","Sfide mentali su bias cognitivi, memoria, attenzione e pensiero laterale.",medium,,https://www.teambuilding.it/project/mind-hackers/
Mission Impossible,Urban Game / Video,Outdoor,"Giovani, Dinamici","Azione, Spionaggio, Città ","La vostra missione, se deciderete di accettarla: una caccia urbana ad alta tensione.",no,no,3,Illimitato,2,"3,5","2,5",Caccia al tesoro urbana con prove video creative da agenti segreti.,medium,,https://www.teambuilding.it/project/mission-impossible/
Mission to Mars VR,Tech / VR,Indoor,"Tech, Nerd, Problem Solvers","Realtà  Virtuale, Spazio, Futuro",Risolvete problemi sul Pianeta Rosso collaborando tra realtà  fisica e virtuale.,no,si,4,100,2,3,"2,5",Risoluzione di problemi e missioni su Marte tramite visori di Realtà  Virtuale.,medium,,https://www.teambuilding.it/project/mission-to-mars/
Mosaico,Creativo,Indoor,"Grandi gruppi, Artistici","Arte, Pazienza, Unione",Tante piccole tessere per formare la grande immagine unitaria della vostra azienda.,no,no,4,Illimitato,"1,5","2,5",2,Creazione dell'immagine aziendale o di un quadro tramite migliaia di tasselli colorati.,low,,https://www.teambuilding.it/project/mosaico/
Movie Game,Quiz / Cinema,Durante i pasti,"Cene Aziendali, Cinefili","Cinema, Quiz, Divertimento",Vi sentite esperti di cinema? Mettetevi alla prova tra citazioni e colonne sonore!,no,no,3,Illimitato,"1,5","2,5",2,Quiz a squadre interattivo sul mondo del cinema con pulsantiere o app.,low,,https://www.teambuilding.it/project/movie-game/
Mystery Box,Culinario,Indoor,Appassionati Masterchef,"Adrenalina, Creatività , Gusto","Una scatola misteriosa, ingredienti segreti e la sfida di creare un piatto da chef.",no,si,5,100,2,4,3,Sfida di cucina in stile Masterchef con ingredienti a sorpresa.,low,,https://www.teambuilding.it/project/mystery-box/
Natale all'asta,Quiz / Asta,Cena / Aperitivo,"Cene di Natale, Gruppi vivaci","Azzardo, Risate, Strategia",Un'asta pazza dove si vince usando la valuta più preziosa: il divertimento.,no,no,3,Illimitato,"1,5","2,5",2,Gioco a quiz con asta finale per aggiudicarsi premi utilizzando i punti guadagnati.,low,,https://www.teambuilding.it/project/natale-all-asta/
Natale in Team,Creativo / Natale,Indoor,Cene di Natale,"Natale, Creatività , Festa",L'atmosfera del Natale creata dalle vostre mani per decorare l'ufficio o la festa.,no,no,4,Illimitato,"1,5","2,5",2,"Attività  creative natalizie (decorazioni, alberi) svolte in team.",low,,https://www.teambuilding.it/project/nataleinteam
Oggetti Misteriosi,Quiz / Cena,Durante i pasti,"Cene Aziendali, Curiosi","Curiosità , Storia, Logica",Oggetti strani dal passato: indovinate a cosa servivano prima che lo faccia il tavolo accanto!,no,no,3,Illimitato,1,2,"1,5",Quiz interattivo dove i team devono indovinare l'uso di oggetti antichi e strani.,low,,https://www.teambuilding.it/project/oggetti-misteriosi/
Oggetti Volanti,Creativo,indoor / Outdoor,"Tech, Nerd, Problem Solvers","Costruzione, ingegno, fantasia",Saprete costruire degli oggetti volanti migliori dei vostri avversari?,no,si,3,Illimitato,1,2,"1,5","Attività di costruzione e problem solving, i team si sfidano lanciando degli aerei di carta.",medium,,https://www.teambuilding.it/project/flying-objects/
Olympic Games,Sportivo / Giochi,Outdoor,"Sportivi, Grandi Gruppi","Competizione, Energia, Squadra",Accendete la fiaccola: una serie di sfide olimpiche per celebrare lo spirito di squadra.,no,no,4,Illimitato,2,4,3,Olimpiadi aziendali con diverse discipline sportive e giochi di squadra.,medium,,https://www.teambuilding.it/project/olympic-games/
Origami,Creativo / Zen,Indoor,"Pazienti, Zen","Pazienza, Precisione, Calma",L'arte della pazienza: piegate la carta e spiegate la vostra mente.,no,no,3,50,1,2,"1,5",Laboratorio per imparare l'antica arte giapponese di piegare la carta.,low,,https://www.teambuilding.it/project/origami/
Pasta Building,Culinario,Indoor,"Gruppi Internazionali, Foodies","Tradizione, Manualità , Gusto",Mani in pasta! Scoprite i segreti della tradizione italiana creando la pasta fresca.,no,no,5,100,2,3,"2,5","Laboratorio pratico per imparare a fare la pasta fresca a mano (tagliatelle, ravioli).",medium,,https://www.teambuilding.it/project/pasta-building/
Photo Competition,Foto / Creativo,Indoor / Outdoor,"Creativi, Social","Visual, Gara, Espressione","Non serve una reflex, basta l'occhio giusto: la maratona fotografica per il team.",no,no,3,Illimitato,2,4,3,Gara fotografica a temi con valutazione finale degli scatti migliori.,medium,,https://www.teambuilding.it/project/photo-competition/
PiantiAmo,Green / Sociale,Outdoor,"CSR, Green","Natura, Futuro, Radici",Piantate oggi gli alberi che faranno respirare il domani.,si,no,4,Illimitato,2,4,3,Attività  di piantumazione di alberi in parchi o aree deforestate.,medium,"Prezzo indicativo, dipende dal tipo di piante che richiede il cliente e dalla quantità. Necessario approfondimento in fase successiva.",https://www.teambuilding.it/project/guerrilla-gardening/
Pixel Art,Creativo / Logica,Indoor,"Nerd, Creativi","Precisione, Colore, Retrà²",Un pixel alla volta: ricreate l'immagine aziendale con lo stile dei vecchi videogiochi.,no,no,3,Illimitato,1,2,"1,5",Creazione di immagini utilizzando post-it o tessere quadrate colorate.,low,,https://www.teambuilding.it/project/pixel-art/
Pizzaman for a Day,Culinario,Indoor,"Gruppi Internazionali, Golosi","Italia, Gusto, Allegria",Regina o Capricciosa? Diventate pizzaioli per un giorno e sfornate il capolavoro.,no,no,4,50,2,3,"2,5","Corso pratico per imparare a stendere, condire e cuocere la vera pizza italiana.",low,,https://www.teambuilding.it/project/pizzaman-for-a-day/
Post-It Art,Creativo / Office,Indoor,"Creativi, Office","Colore, Ufficio, Sorpresa",La cancelleria diventa arte: trasformate una vetrata in un murale colorato.,no,no,3,Illimitato,1,2,"1,5",Creazione di murales e disegni su vetrate utilizzando solo post-it colorati.,low,,https://www.teambuilding.it/project/post-it-art/
Quizzone,Quiz / Cena,Durante i pasti,"Cene Aziendali, Tutti","Cultura, Risate, Sfida","Il classico dei classici: telecomandi alla mano, chi ne sa di più vince!",no,no,4,Illimitato,"1,5","2,5",2,Gioco a quiz multimediale con pulsantiere wireless al tavolo.,low,,https://www.teambuilding.it/project/quizzone/
Quizzonline,Quiz / Remoto,Remoto,"Smart Workers, Team distribuiti","Connessione, Velocità , Divertimento",La sfida arriva a casa vostra: quiz digitale per unire i team distanti.,no,no,3,Illimitato,"0,5","1,5",1,Quiz interattivo online giocabile da smartphone o pc in videoconferenza.,low,,https://www.teambuilding.it/project/quizzonline/
Rugby,Sport / Formazione,Outdoor,"Team ""fisici"", Sportivi","Haka, Contatto, Lealtà ",Avanzare sostenendo: i valori del rugby applicati alla meta aziendale.,no,no,5,Illimitato,2,4,3,"Training sui valori del rugby (Haka, passaggio, sostegno) senza contatto fisico pericoloso.",medium,,https://www.teambuilding.it/project/rugby/
Sailing,Sport / Vela,Outdoor (Mare/Lago),"Board, Piccoli gruppi","Vento, Ruoli, Libertà ",Tutti sulla stessa barca: regolate le vele e tenete il timone verso l'obiettivo.,no,no,4,100,3,8,4,Regata velica o veleggiata con skipper professionisti su barche a vela.,medium,"Prezzo indicativo, dipende da diversi fattori quali la stagione e la località, necessario approfondimento in una fase successiva della trattativa.",https://www.teambuilding.it/project/sailing/
Sailing Garda,Sport / Vela,Outdoor (Lago),"Board, Piccoli gruppi","Lago, Vento, Esclusività ",La bellezza del lago di Garda vista dalla prua di una barca a vela.,no,no,4,50,3,8,4,Esperienza di vela specifica sul Lago di Garda.,medium,,https://www.teambuilding.it/project/sailing-garda/
Santa's Helper,Sociale / Natale,Indoor,"Cene di Natale, CSR","Natale, Cuore, Dono",Diventate gli elfi di Babbo Natale: confezionate regali per chi ne ha più bisogno.,si,no,4,Illimitato,1,2,"1,5",Attività  di confezionamento regali o cesti natalizi da donare in beneficenza.,low,,https://www.teambuilding.it/project/santas-helpers/
Sarabanda,Musica / Quiz,Durante i pasti,"Cene Aziendali, Melomani","Musica, Memoria, Ballo",La indovino con una? Riconoscete le hit musicali e scatenatevi!,no,no,3,Illimitato,1,2,"1,5",Quiz musicale dove bisogna indovinare titolo e autore delle canzoni ascoltate.,low,,https://www.teambuilding.it/project/sarabanda/
Scolpisci,Creativo / Scultura,Indoor,"Artistici, Manualità ","Arte, Forma, Materia",Liberate la forma dalla materia: scolpite il vostro successo nel blocco grezzo.,no,no,3,50,2,4,3,Laboratorio di scultura su gasbeton (materiale friabile) per creare opere d'arte.,low,,https://www.teambuilding.it/project/scolpisci/
Shackleton,Formativo / Ghiaccio,Indoor,"Manager, Team in crisi","Leadership, Crisi, Sopravvivenza",Imparare a guidare nel ghiaccio: la lezione di leadership più estrema della storia.,no,no,5,50,2,4,3,Team building formativo basato sulla storia della spedizione antartica di Shackleton.,high,,https://www.teambuilding.it/project/shackleton/
Slitte Pazze,Costruzione / Neve,Outdoor (Neve),"Giovani, Neve","Neve, Risate, Velocità ","Non serve la neve per scivolare, basta la follia! (Ma se c'è neve è meglio).",no,no,4,Illimitato,2,3,"2,5",Costruzione di slitte stravaganti con cartone e materiali di recupero e gara di discesa.,high,,https://www.teambuilding.it/project/slitte-pazze/
Smart Team Challenge,Tech / Robot,Indoor / Outdoor,"Giovani, Tech","Tecnologia, Sfida, Velocità ",Sfida a squadre nella costruzione e programmazione di piccoli robot,no,no,4,Illimitato,"1,5",3,"2,5","I team devono costruire dei piccoli robot, aggiungere delle funzioni e programmarle.",high,,https://www.teambuilding.it/project/smart-team-challenge/
Social Team Building,Sociale / CSR,Indoor / Outdoor,"CSR, Aziende Etiche","Cuore, Utilità , Emozione","Fate del bene, fatelo insieme. Un team building che lascia il segno nel cuore.",si,no,5,Illimitato,2,6,4,"Attività  generica di volontariato o supporto a onlus (pittura muri, giardinaggio, ecc).",high,"Prezzo indicativo, può salire o scendere in base al reale intervento che andremo a progettare con il cliente e con il destinatario. Necessario approfondimento in una fase successiva della trattativa.",https://www.teambuilding.it/project/social-team-building/
Softair LaserTag,Avventura / Guerra,Outdoor,"Giovani, Competitivi","Strategia, Azione, Adrenalina",Missione operativa: stategia militare e azione senza esclusione di colpi (innocui).,no,no,3,Illimitato,2,4,3,Simulazione di combattimento con repliche di armi (softair) o puntatori laser (lasertag).,medium,,https://www.teambuilding.it/project/lasertag/
Squid Game,Giochi / Serie TV,Indoor / Outdoor,"Fan serie TV, Giovani","Tensione, Gioco, Trend","Un, due, tre... Stella! Sopravvivete ai giochi dell'infanzia in versione corporate.",no,si,4,Illimitato,2,3,"2,5",Serie di giochi a eliminazione ispirati alla famosa serie TV (senza violenza).,low,,https://www.teambuilding.it/project/squid-game/
Street Fundraising,Sociale / Vendita,Outdoor,"Commerciali, Sales","Vendita, Faccia tosta, Sociale",Venditori nati? Provatelo in strada raccogliendo fondi per una buona causa.,si,no,3,50,2,4,3,Gara a chi raccoglie più fondi per una onlus fermando i passanti per strada.,low,,https://www.teambuilding.it/project/street-fundraising/
Stuntman,Cinema / Azione,Outdoor,"Audaci, Cinema","Azione, Cinema, Coraggio","Luci, Motori, Azione! Diventate gli eroi di un film d'azione per un giorno.",no,no,3,Illimitato,2,4,3,"Laboratorio per imparare tecniche di stunt cinematografico (cadute, combattimenti finti).",low,"Prezzo indicativo, varia in base a diverse variabili, tra cui l'autodromo dove si svolge l'attività, la stagione, il numero di auto a disposizione. Necessario approfondimento in una fase successiva della trattativa.",https://www.teambuilding.it/project/stunt-man/
Survival,Avventura / Natura,Outdoor,"Avventurosi, Team Building puro","Natura, Fuoco, Sopravvivenza",Dispersi nella natura: avete quello che serve per accendere il fuoco e sopravvivere?,no,no,4,Illimitato,3,8,4,"Corso di sopravvivenza: accensione fuoco, costruzione riparo, orientamento.",high,,https://www.teambuilding.it/project/survival/
Sushi San,Culinario,Indoor,"Amanti Sushi, Precisione","Giappone, Precisione, Gusto",L'arte del sushi: precisione zen e gusto orientale nelle vostre mani.,no,no,4,50,2,3,"2,5",Corso pratico per imparare a preparare sushi e maki giapponesi.,low,,https://www.teambuilding.it/project/sushi-san/
SWAT,Avventura / Tattica,Outdoor,"Uomini, Tattici","Tattica, Irruzione, Adrenalina",Squadra Speciale in azione: pianificate l'irruzione e salvate l'ostaggio.,no,no,3,40,3,5,4,Addestramento tattico speciale con simulazioni di irruzioni e liberazione ostaggi.,high,,https://www.teambuilding.it/project/swat/
Tableau Vivant,Creativo / Arte,Indoor,"Creativi, Artistici","Arte, Posa, Storia",Entrate nel quadro: ricreate i capolavori dell'arte con i vostri corpi e oggetti.,no,no,3,Illimitato,"1,5","2,5",2,I team devono ricreare dal vivo famosi quadri utilizzando costumi e oggetti di scena.,low,,https://www.teambuilding.it/project/tableau-vivant/
Talent Factory,Show / Talent,Indoor,"Estroversi, Grandi Gruppi","Talento, Show, Applausi",X-Factor aziendale: scoprite chi nasconde una voce d'oro o un talento magico.,si,no,4,Illimitato,2,4,3,Talent show aziendale dove i dipendenti si esibiscono nei loro talenti nascosti.,low,,https://www.teambuilding.it/project/talent-factory/
Team Beat,Musica / Percussioni,Indoor,"Grandi Convention, Ice-breaker","Energia, Ritmo, Unisono","Un solo ritmo, un solo cuore: trasformate il meeting in un'orchestra di percussioni.",no,no,5,Illimitato,"0,5","1,5",1,Attività  di percussioni corporee o con tubi sonori (boomwhackers) per creare ritmo.,medium,,https://www.teambuilding.it/project/team-beat/
The Box,Costruzione / Enigmi,Indoor,"Problem Solvers, Creativi","Mistero, Incastro, Sorpresa",Non pensate fuori dalla scatola... entrateci! E scoprite cosa nasconde.,no,no,3,Illimitato,"1,5","2,5",2,I team entrano in grandi scatole e devono risolvere enigmi per interagire con l'esterno.,low,,https://www.teambuilding.it/project/the-box/
The Comic Side of Work,Teatrale / Comico,Indoor,"Team stressati, Autoironia","Risate, Ironia, Leggerezza",Ridere del lavoro fa lavorare meglio: trasformate i problemi in sketch comici.,no,no,4,Illimitato,2,4,3,Laboratorio di cabaret e comicità  focalizzato sulle dinamiche lavorative.,high,,https://www.teambuilding.it/project/the-comic-side-of-work/
Tinkering,Costruzione / Creativo,Indoor,"Ingegneri, Curiosi","Invenzione, Meccanica, Gioco",Pensare con le mani: inventate macchine inutili ma geniali.,no,si,3,Illimitato,"1,5",3,2,"Attività  di ""bricolage creativo"" per costruire macchine o reazioni a catena.",high,,https://www.teambuilding.it/project/tinkering/
Tombola Beat,Musica / Gioco,Cena / Aperitivo,"Cene di Natale, Feste","Ritmo, Fortuna, Festa","Non la solita tombola: numeri, ritmo e premi a tempo di musica.",no,si,3,Illimitato,1,2,"1,5",Gioco della tombola animato con intermezzi musicali e ritmici.,low,,https://www.teambuilding.it/project/tombola-beat/
Treasure Hunt,Caccia al tesoro,Outdoor (Città ),"Turisti, Gruppi Internazionali","Scoperta, Città , Gioco",La città  è il vostro tabellone di gioco: scopritene i tesori nascosti.,no,no,4,Illimitato,2,4,3,"Classica caccia al tesoro in città  con mappa, indizi e tappe da raggiungere.",low,,https://www.teambuilding.it/project/treasure-hunt/
Unlock and Drink,Enigmi / Aperitivo,Aperitivo,"Aperitivi, Ice-breaking","Sete, Enigma, Brindisi","Il drink è là, dentro la gabbia. Se volete bere, dovete sbloccarlo!",no,si,3,Illimitato,"0,5",1,"0,5",Piccoli enigmi da risolvere per sbloccare la cassaforte che contiene il drink.,medium,,https://www.teambuilding.it/project/unlock-and-drink/
Vertical Garden,Green / Costruzione,Indoor,"Green, Ufficio","Verde, Design, Costruzione",Portate il verde in alto: costruite giardini verticali per i vostri spazi o per donarli.,si,no,4,Illimitato,2,3,"2,5",Costruzione di orti verticali in legno per uffici o balconi.,medium,,https://www.teambuilding.it/project/vertical-garden/
Vintage Tours,Guida / Tour,Outdoor,"Turisti, Amanti vintage","Dolce Vita, Motori, Panorama",Un tuffo nella Dolce Vita: alla guida di auto e moto d'epoca nei luoghi più belli d'Italia.,no,no,2,50,2,4,3,Tour guidati con auto d'epoca (Fiat 500) o Vespe in località  turistiche.,low,,https://www.teambuilding.it/project/vintage-tour/
Virtual Escape Box,Escape / Remoto,Remoto,Smart Workers,"Online, Logica, Connessione",Escape room digitale: risolvete il mistero collaborando a distanza con il vostro avatar.,no,no,2,Illimitato,1,"1,5","1,5",Risoluzione di enigmi online in videochiamata con un avatar reale.,low,,https://www.teambuilding.it/project/virtual-escape-box/
Yacht Day,Lusso / Mare,Outdoor,"VIP, Top Management","Mare, Lusso, Sole",Relax e lusso in mare aperto: un'esperienza esclusiva per chi punta all'eccellenza.,no,no,1,10,6,8,6,Giornata in barca a motore di lusso con skipper e attività  a bordo.,medium,"Prezzo indicativo, dipende molto dalla stagione, dalla località e il numero dei partecipanti. Indispensabile approfondimento in trattativa.",https://www.teambuilding.it/project/yacht-day/
